title|offer_type|desc|size|price|gradnja|adaptacija
BRDO, NOVA GRBINA|dvoinpolsobno|107,1 m2, 2,5-sobno, zgrajeno l. 2002, 1/4 nad., oddamo. Cena: 950,00 EUR/mes|107,10 m2|950,00 €/mesec|2002|nan
BRDO, ZELENI GAJ|dvosobno|49 m2, 2-sobno, zgrajeno l. 2015, 2/5 nad., Oddam popolnoma opremljeno stanovanje z dvema pokritima lastniškima parkirni...|49,00 m2|800,00 €/mesec|2015|nan
BRDO, ZELENI GAJ|dvosobno|74,2 m2, 2-sobno, novogradnja - zgr. l. 2017, 2/4 nad., novo, luksuzno opremljeno dvosobno stanovanje z ložo, shrambo, d...|74,20 m2|950,00 €/mesec|2017|nan
BRINJE, BEŽIGRAD|Soba|16 m2, soba, zgrajena l. 1965, adaptirana l. 2014, VP/5 nad., Štirisobno stanovanje oddamo 4 študentkam vsaj za eno šols...|16,00 m2|250,00 €/mesec|1965|2014
BROD|Soba|13 m2, soba, adaptirana l. 2013, 300 m2 zemljišča, M/1 nad., soba pod šmarno goro, oddamo. Cena: 210,00 EUR/mes|13,00 m2|210,00 €/mesec|nan|2013
BROD|garsonjera|26 m2, garsonjera, zgrajena l. 1970, adaptirana l. 2015, 2/2 nad., ljubljana, brod, obnovljeno, 26m2, oddamo. Cena: 400,...|26,00 m2|400,00 €/mesec|1970|2015
BROD|dvosobno|60 m2, 2-sobno, zgrajeno l. 1960, adaptirano l. 2015, Dvosobno stanovanje z balkonom, eno parkirno mesto, oddamo. Cena: ...|60,00 m2|450,00 €/mesec|1960|2015
BROD|dvosobno|60,1 m2, 2-sobno, zgrajeno l. 2003, 3. nad., oddamo. Cena: 650,00 EUR/mes|60,10 m2|650,00 €/mesec|2003|nan
BROD|dvosobno|62 m2, 2-sobno, dupleks, adaptirano l. 2016, P/M, Primerno za 1 mirno osebo, par, lasten vhod parkirišče pred vhodom, 10...|62,00 m2|600,00 €/mesec|nan|2016
BROD, PIPANOVA POT 14|garsonjera|44 m2, garsonjera, zgrajena l. 2020, 1/2 nad., Garsonjera z zunanjim privatnim parkirnim prostorom, primerna za dve oseb...|44,00 m2|600,00 €/mesec|2020|nan
BROD, POD ŠMARNO GORO|trisobno|86 m2, 3-sobno, zgrajeno l. 1935, adaptirano l. 2018, 200 m2 zemljišča, VP/2 nad., 3-sobno stanovanje, opremljena kuhinj...|86,00 m2|650,00 €/mesec|1935|2018
BROD, TACEN|dvosobno|51 m2, 2-sobno, zgrajeno l. 2004, adaptirano l. 2015, 30 m2 zemljišča, P/PK, Stanovanje je nadstandardno obnovljeno leta...|51,00 m2|600,00 €/mesec|2004|2015
BS 3|garsonjera|20 m2, garsonjera, zgrajena l. 1974, adaptirana l. 2015, P/4 nad., vsi stroški so vključeni v ceno. oddamo svetlo, oprem...|20,00 m2|390,00 €/mesec|1974|2015
BS 3|garsonjera|36 m2, garsonjera, zgrajena l. 1982, 12/12 nad., Oddam opremljeno garsonjero za Bežigradom na Vojkovi ulici v Ljubljani,...|36,00 m2|380,00 €/mesec|1982|nan
BS 3|enosobno|44 m2, 1-sobno, zgrajeno l. 1978, 1. nad., oddamo. Cena: 500,00 EUR/mes|44,00 m2|500,00 €/mesec|1978|nan
BS 3|dvosobno|46 m2, 2-sobno, zgrajeno l. 1977, adaptirano l. 2017, 1/5 nad., oddamo. Cena: 550,00 EUR/mes|46,00 m2|550,00 €/mesec|1977|2017
BS 3|trisobno|80,3 m2, 3-sobno, zgrajeno l. 1980, 4/4 nad., Bežigrad, BS3, 3 sobno stanovanje nasproti Ekonomske, Pedagoske fakultete ...|80,30 m2|200,00 €/mesec|1980|nan
BS 3|štirisobno|98,7 m2, 4-sobno, adaptirano l. 2020, 1/4 nad., Prijetno, svetlo in prostorno stanovanje, z balkonom in zeleno okolico. ...|98,70 m2|1.500,00 €/mesec|nan|2020
BS 3, BEŽIGRAD|garsonjera|28 m2, garsonjera, adaptirana l. 2016, 1/10 nad., Oddamo vrhunsko po meri opremljeno garsonjero v velikosti 28 m2 na Voj...|28,00 m2|450,00 €/mesec|nan|2016
BS 3, LJ. BEŽIGRAD|trisobno|71 m2, 3-sobno, zgrajeno l. 1980, 15/20 nad., Oddamo svetlo, urejeno in opremljeno 3 sobno stanovanje: 2 sobi + 1 kabine...|71,00 m2|750,00 €/mesec|1980|nan
BS 3, MAROLTOVA ULICA 2|dvoinpolsobno|70 m2, 2,5-sobno, zgrajeno l. 1978, adaptirano l. 2020, 66 m2 zemljišča, P/4 nad., Oddamo stanovanje 70 m2 v Ljubljani v...|70,00 m2|750,00 €/mesec|1978|2020
BS 3, VOJKOVA 77|garsonjera|29 m2, garsonjera, adaptirana l. 2020, 7/14 nad., Bežigrad,na novo z pohištvom po meri opremljena garsonjera, parking za...|29,00 m2|450,00 €/mesec|nan|2020
BS 3, VOJKOVA CESTA|Soba|30 m2, soba, zgrajena l. 1980, oddaja se ženski osebi, svetla, prostorna soba na mirni lokaciji, iščem umirjeno, redolju...|30,00 m2|200,00 €/mesec|1980|nan
BS 3, VOJKOVA CESTA 91|trisobno|71 m2, 3-sobno, zgrajeno l. 1979, 2/18 nad., Vseljivo takoj, Stadion Stozice, dobra avtobusna povezava, blizina trgovine...|71,00 m2|790,00 €/mesec|1979|nan
BTC|Soba|20 m2, soba, adaptirana l. 2020, soba v okolici btcja, oddamo. Cena: 300,00 EUR/mes|20,00 m2|300,00 €/mesec|nan|2020
ČRNUČE|garsonjera|23 m2, garsonjera, zgrajena l. 1975, adaptirana l. 2017, 5/5 nad., Oddamo garsonjero, oddamo. Cena: 400,00 EUR/mes|23,00 m2|400,00 €/mesec|1975|2017
ČRNUČE|Soba|23 m2, soba, adaptirana l. 1985, adaptirana l. 2010, 700 m2 zemljišča, 1/1 nad., Oddamo opremljeno sobo za eno osebo CK,...|23,00 m2|250,00 €/mesec|nan|1985
ČRNUČE|Soba|23 m2, soba, adaptirana l. 2017, 1/2 nad., Oddamo sobo Črnuče, oddamo. Cena: 210,00 EUR/mes|23,00 m2|210,00 €/mesec|nan|2017
ČRNUČE|garsonjera|26,5 m2, garsonjera, zgrajena l. 2002, 2/6 nad., Opremljena garsonjera Črnuče, oddamo. Cena: 400,00 EUR/mes|26,50 m2|400,00 €/mesec|2002|nan
ČRNUČE|dvosobno|56 m2, 2-sobno, zgrajeno l. 2018, 3/4 nad., oddamo. Cena: 850,00 EUR/mes|56,00 m2|850,00 €/mesec|2018|nan
ČRNUČE|dvoinpolsobno|63 m2, 2,5-sobno, zgrajeno l. 1986, 2/4 nad., popolnoma opremljeno, bližina narave, oddamo. Cena: 650,00 EUR/mes|63,00 m2|650,00 €/mesec|1986|nan
ČRNUČE|enoinpolsobno|72 m2, 1,5-sobno, zgrajeno l. 2017, 35,3 m2 zemljišča, moderno stanovanje z atrijem, oddamo. Cena: 850,00 EUR/mes|72,00 m2|850,00 €/mesec|2017|nan
ČRNUČE|trisobno|84 m2, 3-sobno, zgrajeno l. 1985, adaptirano l. 2012, pritličje, oddamo. Cena: 800,00 EUR/mes|84,00 m2|800,00 €/mesec|1985|2012
ČRNUČE, CENETA ŠTUPARJA|trisobno|72 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 2010, 7/10 nad., Oddamo stanovanje v Črnučah. Obsega predsobo, kuhinjo z...|72,00 m2|780,00 €/mesec|1981|2010
ČRNUČE, LJ.|garsonjera|30 m2, garsonjera, zgrajena l. 1985, 2/2 nad., oddamo. Cena: 500,00 EUR/mes|30,00 m2|500,00 €/mesec|1985|nan
ČRNUČE, POLANŠKOVA|triinpolsobno|94,3 m2, 3,5-sobno, zgrajeno l. 1988, adaptirano l. 2018, 2/4 nad., oddamo. Cena: 750,00 EUR/mes|94,30 m2|750,00 €/mesec|1988|2018
ČRNUČE, SREDNJE GAMELJNE|trisobno|65 m2, 3-sobno, zgrajeno l. 1980, adaptirano l. 2019, 2/2 nad., Urejeno, vzdrzevano, s pogledom na Šmarno goro, oddamo. ...|65,00 m2|590,00 €/mesec|1980|2019
ČRNUŠKA GMAJNA|triinpolsobno|75 m2, 3,5-sobno, zgrajeno l. 1980, adaptirano l. 2016, oddamo. Cena: 800,00 EUR/mes|75,00 m2|800,00 €/mesec|1980|2016
ČRNUŠKA GMAJNA, ČRNUČE, POLANŠKOVA ULICA|dvosobno|63 m2, 2-sobno, zgrajeno l. 1987, adaptirano l. 2020, 1/4 nad., Obnovljeno in opremljeno 2 sobno stanovanje., 1.nad. V b...|63,00 m2|700,00 €/mesec|1987|2020
DOBRUNJE|trisobno|61 m2, 3-sobno, novogradnja - zgr. l. 2019, 1/1 nad., novo, varčno, moderno po meri opremljeno stanovanje, funkcionalno,...|61,00 m2|790,00 €/mesec|2019|nan
DOLGI MOST|Soba|16 m2, soba, adaptirana l. 2015, pritličje, oddamo. Cena: cca 130,00 EUR/mes|16,00 m2|130,00 €/mesec|nan|2015
DOLGI MOST|Soba|16 m2, soba, adaptirana l. 2016, 1. nad., študentom se oddaja dvoposteljna soba v hiši, 150 EUR na osebo, souporaba kopa...|16,00 m2|300,00 €/mesec|nan|2016
DOLGI MOST|dvoinpolsobno|60 m2, 2,5-sobno, zgrajeno l. 2004, 17 m2 zemljišča, P/2 nad., 3-sobno novejše atrijsko stanovanje v nizkem bloku, oprem...|60,00 m2|750,00 €/mesec|2004|nan
DOLGI MOST|trisobno|70 m2, 3-sobno, zgrajeno l. 2003, 1/2 nad., oddamo. Cena: 500,00 EUR/mes|70,00 m2|500,00 €/mesec|2003|nan
DOLGI MOST|trisobno|130 m2, 3-sobno, zgrajeno l. 2000, oddamo. Cena: 950,00 EUR/mes|130,00 m2|950,00 €/mesec|2000|nan
DOLGI MOST|trisobno|130 m2, 3-sobno, zgrajeno l. 1995, adaptirano l. 2013, 891 m2 zemljišča, 2/2 nad., Oddamo prostorno, zelo kakovostno ure...|130,00 m2|950,00 €/mesec|1995|2013
DOLGI MOST|triinpolsobno|150 m2, 3,5-sobno, zgrajeno l. 2000, adaptirano l. 2014, 4/4 nad., oddamo. Cena: 3.100,00 EUR/mes|150,00 m2|3.100,00 €/mesec|2000|2014
DOLGI MOST, NASELJE KOZARJE|Soba|12 m2, soba, zgrajena l. 1971, adaptirana l. 2014, 30 m2 zemljišča, 1/2 nad., Klici po 17h, oddamo. Cena: cca 180,00 EUR...|12,00 m2|180,00 €/mesec|1971|2014
DRAVELJSKA GMAJNA|Soba|19 m2, soba, adaptirana l. 2020, 4/4 nad., Soba za študentski par v Dravljah, popolnoma opremljeno, oddamo. Cena: 500,00...|19,00 m2|500,00 €/mesec|nan|2020
DRAVLJE|Soba|10 m2, soba, zgrajena l. 1980, adaptirana l. 2007, PK/P+1+M, Polkletno stanovanje obnovljeno 2020, 3x dvoposteljna soba ...|10,00 m2|200,00 €/mesec|1980|2007
DRAVLJE|garsonjera|28 m2, garsonjera, zgrajena l. 1985, 3/9 nad., V najem oddamo garsonjero v stanovanjskem bloku. Je na mirni lokaciji ter...|28,00 m2|450,00 €/mesec|1985|nan
DRAVLJE|enosobno|35 m2, 1-sobno, adaptirano l. 2020, adaptirano l. 2020, PK/PK, Oddaja prenovljenega stanovanje za 2 študenta oz. mlajšim...|35,00 m2|210,00 €/mesec|nan|2020
DRAVLJE|dvosobno|56 m2, 2-sobno, zgrajeno l. 1974, adaptirano l. 2016, 4/4 nad., oddamo. Cena: 750,00 EUR/mes|56,00 m2|750,00 €/mesec|1974|2016
DRAVLJE|trisobno|85 m2, 3-sobno, zgrajeno l. 1973, adaptirano l. 2020, 9/11 nad., svetlo, zračno in zelo mirno, dva balkona z izjemnim ra...|85,00 m2|880,00 €/mesec|1973|2020
DRAVLJE, BLIZU DRAVELJSKE CERKVE|Soba|25 m2, soba, adaptirana l. 2013, M/2 nad., Oddam sobo v štirisobnem stanovanju, skupaj z ostalimi najemniki v ostalih so...|25,00 m2|250,00 €/mesec|nan|2013
DRAVLJE, BRILEJEVA - NASPROTI MERCATOR CENT|garsonjera|29 m2, garsonjera, zgrajena l. 1983, adaptirana l. 2018, 6/10 nad., opremljena garsonjera z ločeno kuhinjo in zastekljen...|29,00 m2|430,00 €/mesec|1983|2018
DRAVLJE, KAMNOGORIŠKA CESTA|trisobno|99,3 m2, 3-sobno, zgrajeno l. 2003, adaptirano l. 2019, oddamo. Cena: 800,00 EUR/mes|99,30 m2|800,00 €/mesec|2003|2019
DRAVLJE, LJ. - DRAVELJSKA GMAJNA|dvosobno|56 m2, 2-sobno, zgrajeno l. 1973, adaptirano l. 2020, 56 m2 zemljišča, 1/2 nad., dvo sobno stanovanje perkirni porostor ...|56,00 m2|600,00 €/mesec|1973|2020
DRAVLJE, PILONOVA 8|enoinpolsobno|"49 m2, 1,5-sobno, zgrajeno l. 2012, 1. nad., Na mirni lokaciji ""PILON"" oddamo stanovaje urejenemu posamezniku ..."|49,00 m2|600,00 €/mesec|2012|nan
DRAVLJE, UL. BRATOV BABNIK|trisobno|73,1 m2, 3-sobno, zgrajeno l. 1981, 3/4 nad., svetlo in udobno klasično 3S stanovanje, obnovljeno, popolnoma opremljeno,...|73,10 m2|700,00 €/mesec|1981|nan
FUŽINE|Soba|15 m2, soba, adaptirana l. 2015, 3/7 nad., študentje nekadilci, oddamo. Cena: 250,00 EUR/mes|15,00 m2|250,00 €/mesec|nan|2015
FUŽINE|garsonjera|30 m2, garsonjera, zgrajena l. 1980, adaptirana l. 2020, 3/4 nad., oddamo. Cena: cca 450,00 EUR/mes|30,00 m2|450,00 €/mesec|1980|2020
FUŽINE|štirisobno|92,9 m2, 4-sobno, zgrajeno l. 1986, 4/4 nad., oddamo. Cena: 850,00 EUR/mes|92,90 m2|850,00 €/mesec|1986|nan
FUŽINE, BRODARJEV TRG|trisobno|65 m2, 3-sobno, zgrajeno l. 1981, adaptirano l. 2012, 11/12 nad., LJ. fužine,brodarjev trg, 3. sobno stanovanje, 65 m2, ...|65,00 m2|600,00 €/mesec|1981|2012
FUŽINE, CHENGDUJSKA ULICA 24|štirisobno|92,9 m2, 4-sobno, zgrajeno l. 1986, 4/4 nad., oddamo. Cena: cca 850,00 EUR/mes|92,90 m2|850,00 €/mesec|1986|nan
FUŽINE, OBNOVLJENO 2020, HITRA VSELITEV|garsonjera|24 m2, garsonjera, adaptirana l. 2020, Nova oprema, hitra vselitev, popolnoma obnovljeno, oddamo. Cena: 450,00 EUR/mes|24,00 m2|450,00 €/mesec|nan|2020
FUŽINE, POT NA|garsonjera|29 m2, garsonjera, adaptirana l. 2020, 2/4 nad., oddamo. Cena: 400,00 EUR/mes|29,00 m2|400,00 €/mesec|nan|2020
GALJEVICA|Soba|16 m2, soba, zgrajena l. 1980, adaptirana l. 2008, 250 m2 zemljišča, P+M, Oddamo študentom sobe v spodnjem delu stanovan...|16,00 m2|200,00 €/mesec|1980|2008
GALJEVICA|garsonjera|20 m2, garsonjera, zgrajena l. 1972, P/VP, Garsonjero-sobo,predsobo,kuhinjo, WC/TUŠ v hiši,ločen vhod oddam mlajšemu red...|20,00 m2|250,00 €/mesec|1972|nan
GALJEVICA|dvoinpolsobno|82 m2, 2,5-sobno, adaptirano l. 2015, P/2 nad., oddamo. Cena: 870,00 EUR/mes|82,00 m2|870,00 €/mesec|nan|2015
GALJEVICA|štirisobno|100 m2, 4-sobno, v stavbi zgrajeni l. 1972, adaptirano l. 2010, 2/2 nad., Oddam sobo v študentskem stanovanju. Soba je z...|100,00 m2|120,00 €/mesec|1972|2010
GALJEVICA|štirisobno|105 m2, 4-sobno, zgrajeno l. 1970, adaptirano l. 2019, 55 m2 zemljišča, P+1, oddamo. Cena: 1.390,00 EUR/mes|105,00 m2|1.390,00 €/mesec|1970|2019
GALJEVICA|štirisobno|105 m2, 4-sobno, zgrajeno l. 2005, 1/2 nad., oddamo. Cena: 1.000,00 EUR/mes|105,00 m2|1.000,00 €/mesec|2005|nan
GALJEVICA, LJ. - RUDNIK|enoinpolsobno|33,6 m2, 1,5-sobno, zgrajeno l. 2009, 25,3 m2 zemljišča, P/P, Lj.-Rudnik-Galjevica, oddam 1,5 sobno stanovanje v pritlič...|33,60 m2|650,00 €/mesec|2009|nan
JARŠE|Soba|12 m2, soba, zgrajena l. 1981, 7/7 nad., Oddam sobo v Novih Jaršah, oddamo. Cena: 230,00 EUR/mes|12,00 m2|230,00 €/mesec|1981|nan
JARŠE, KODROVA ULICA 9|dvosobno|52 m2, 2-sobno, zgrajeno l. 1980, polklet, oddamo. Cena: cca 600,00 EUR/mes|52,00 m2|600,00 €/mesec|1980|nan
JEŽICA|Soba|13 m2, soba, zgrajena l. 1970, adaptirana l. 2018, PK/2 nad., Oddam svetlo, toplo sobo nekadilki, kuhinja, kopalnica sou...|13,00 m2|250,00 €/mesec|1970|2018
JEŽICA|Soba|15 m2, soba, adaptirana l. 1997, adaptirana l. 2005, P/1 nad., enoposteljna soba, za študente, nizki mesečni stroški, bl...|15,00 m2|190,00 €/mesec|nan|1997
JEŽICA, BEŽIGRAD, RUSKI CAR|Soba|12 m2, soba, zgrajena l. 2000, adaptirana l. 2020, 100 m2 zemljišča, P/P, Študentske enoposteljne sobe, wifi 100/10 Mbps...|12,00 m2|295,00 €/mesec|2000|2020
KODELJEVO|Soba|15 m2, soba, zgrajena l. 1965, adaptirana l. 2020, 300 m2 zemljišča, P+1+2+M/2 nad., Študentu, štuidentki oddam prenovlj...|15,00 m2|240,00 €/mesec|1965|2020
KODELJEVO|garsonjera|35 m2, garsonjera, adaptirana l. 2020, 55 m2 zemljišča, polklet, Prostorna garsonjera na Kodeljevem, 35 m2 bivalnih povr...|35,00 m2|500,00 €/mesec|nan|2020
KODELJEVO|enosobno|36 m2, 1-sobno, zgrajeno l. 1940, adaptirano l. 2005, 1/1 nad., Enosobno stanovanje v hiši na Kodeljevem, študentu ali š...|36,00 m2|300,00 €/mesec|1940|2005
KODELJEVO|dvosobno|50,1 m2, 2-sobno, zgrajeno l. 2004, 2/5 nad., opremljeno, svetlo, bližina narave, oddamo. Cena: 799,00 EUR/mes|50,10 m2|799,00 €/mesec|2004|nan
KODELJEVO|dvosobno|"74 m2, 2-sobno, ""penthouse"", adaptirano l. 2016, 2/2 nad., Veliko stanovanje tik ob gozdu pod Golovcem, oddamo..."|74,00 m2|750,00 €/mesec|nan|2016
KOLEZIJA|enosobno|28 m2, 1-sobno, zgrajeno l. 1933, adaptirano l. 2016, 1/2 nad., Svetlo stanovanje v večstanovanjski hiši, oddamo. Cena: ...|28,00 m2|650,00 €/mesec|1933|2016
KOLEZIJA|dvosobno|55 m2, 2-sobno, adaptirano l. 2016, pritličje, Svetlo in prijetno stanovanje na mirni lokaciji v Trnovem, oddamo. Cena: ...|55,00 m2|600,00 €/mesec|nan|2016
KOLEZIJA|triinpolsobno|68 m2, 3,5-sobno, zgrajeno l. 1962, adaptirano l. 2015, 2/2 nad., oddamo. Cena: 850,00 EUR/mes|68,00 m2|850,00 €/mesec|1962|2015
KOLEZIJA|štirisobno|127 m2, 4-sobno, novogradnja - zgr. l. 2019, 200 m2 zemljišča, P/3 nad., oddamo. Cena: 2.300,00 EUR/mes|127,00 m2|2.300,00 €/mesec|2019|nan
KOSEZE|garsonjera|25 m2, garsonjera, adaptirana l. 2014, 1/1 nad., tel., tv, ac, wifi, parkirišče, oddamo. Cena: 550,00 EUR/mes|25,00 m2|550,00 €/mesec|nan|2014
KOSEZE|dvosobno|53 m2, 2-sobno, zgrajeno l. 2009, 1/1 nad., oddamo. Cena: 830,00 EUR/mes|53,00 m2|830,00 €/mesec|2009|nan
KOSEZE|dvosobno|54,3 m2, 2-sobno, zgrajeno l. 1974, oddamo. Cena: 600,00 EUR/mes|54,30 m2|600,00 €/mesec|1974|nan
KOSEZE|dvosobno|60 m2, 2-sobno, zgrajeno l. 1978, adaptirano l. 2014, 30 m2 zemljišča, P/4 nad., Oddamo popolnoma prenovljeno atrijsko s...|60,00 m2|800,00 €/mesec|1978|2014
KOSEZE|trisobno|80 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2019, 1/4 nad., Garaža v koridorju bloka, oddamo. Cena: 800,00 EUR/mes|80,00 m2|800,00 €/mesec|1974|2019
KOSEZE|triinpolsobno|87 m2, 3,5-sobno, adaptirano l. 2010, 2/4 nad., Ogled stanovanja je možen po 15.9.20, oddamo. Cena: 1.000,00 EUR/mes|87,00 m2|1.000,00 €/mesec|nan|2010
KOSEZE|štirisobno|93 m2, 4-sobno, zgrajeno l. 2001, 1/3 nad., oddamo. Cena: 1.200,00 EUR/mes|93,00 m2|1.200,00 €/mesec|2001|nan
KOSEZE|triinpolsobno|93 m2, 3,5-sobno, zgrajeno l. 1974, adaptirano l. 2016, 1/M, Oddamo stanovanje 93 m2 na odlični lokaciji, oddamo. Cena: ...|93,00 m2|830,00 €/mesec|1974|2016
KOSEZE|trisobno|93 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2016, 1/2 nad., Oddamo svetlo 3-sobno stanovanje z balkonom in parkirnim...|93,00 m2|830,00 €/mesec|1974|2016
KOSEZE|štirisobno|99,4 m2, 4-sobno, zgrajeno l. 2001, adaptirano l. 2012, 1. nad., oddamo. Cena: 1.450,00 EUR/mes|99,40 m2|1.450,00 €/mesec|2001|2012
KOSEZE|štirisobno|166 m2, 4-sobno, zgrajeno l. 1978, adaptirano l. 2015, 54 m2 zemljišča, P/4 nad., oddamo. Cena: 1.000,00 EUR/mes|166,00 m2|1.000,00 €/mesec|1978|2015
KOSEZE, PRI OŠ|dvoinpolsobno|167,5 m2, 2,5-sobno, zgrajeno l. 2008, 3/3 nad., Posredujemo pri oddaji svetlega, prijetnega in klimatiziranega moderneg...|167,50 m2|1.500,00 €/mesec|2008|nan
KOSEZE, TERASASTI BLOKI|trisobno|93 m2, 3-sobno, zgrajeno l. 1976, adaptirano l. 2013, 1/4 nad., svetlo stanovanje z dvema terasama orientirano na vzhod,...|93,00 m2|1.100,00 €/mesec|1976|2013
LITOSTROJ|dvoinpolsobno|43 m2, 2,5-sobno, zgrajeno l. 2020, oddamo. Cena: 800,00 EUR/mes|43,00 m2|800,00 €/mesec|2020|nan
LITOSTROJ|trisobno|74,6 m2, 3-sobno, zgrajeno l. 2020, 1. nad., oddamo. Cena: 1.250,00 EUR/mes|74,60 m2|1.250,00 €/mesec|2020|nan
LJ. BEŽIGRAD|Soba|8 m2, soba, zgrajena l. 1963, adaptirana l. 2018, Enoposteljna soba v 42 m2 stanovanju. Adaptirano in opremljeno, oddamo...|8,00 m2|280,00 €/mesec|1963|2018
LJ. BEŽIGRAD|Soba|12 m2, soba, zgrajena l. 2000, 12 m2 zemljišča, 2/2 nad., Enoposteljna soba - Bežigrad, bližina EF, oddamo. Cena: 280,00...|12,00 m2|280,00 €/mesec|2000|nan
LJ. BEŽIGRAD|Soba|13 m2, soba, zgrajena l. 1985, adaptirana l. 2020, 1.000 m2 zemljišča, P/P, Na obrobju Ljubljana Bežigrada oddam lepo in...|13,00 m2|280,00 €/mesec|1985|2020
LJ. BEŽIGRAD|Soba|15 m2, soba, zgrajena l. 1998, Samo za študentko. Opremljeno sobo s souporabo kuhinje in sanitarij, oddamo. Cena: cca 20...|15,00 m2|200,00 €/mesec|1998|nan
LJ. BEŽIGRAD|Soba|15 m2, soba, zgrajena l. 1974, 8/9 nad., Bežigrajski dvor, Plava laguna, blizu centra, oddamo. Cena: 195,00 EUR/mes|15,00 m2|195,00 €/mesec|1974|nan
LJ. BEŽIGRAD|Soba|16 m2, soba, adaptirana l. 2018, VP/3 nad., Postelja v opremljeni dvoposteljni sobi za dva študenta/študentki, oddamo. C...|16,00 m2|220,00 €/mesec|nan|2018
LJ. BEŽIGRAD|Soba|18 m2, soba, zgrajena l. 1956, Oddam 2 sobi za študente, skupna kuhinja in kopalnica, v bližini avtobusne postaje, 20 mi...|18,00 m2|250,00 €/mesec|1956|nan
LJ. BEŽIGRAD|Soba|20 m2, soba, adaptirana l. 2018, pritličje, Sobo za eno ali dve osebi z souporabo oddam, oddamo. Cena: 250,00 EUR/mes|20,00 m2|250,00 €/mesec|nan|2018
LJ. BEŽIGRAD|Soba|20 m2, soba, zgrajena l. 1960, adaptirana l. 2017, 3/3 nad., Oddam sobo za 2 osebi. Cena na osebo je 200 EUR na mesec vk...|20,00 m2|200,00 €/mesec|1960|2017
LJ. BEŽIGRAD|Soba|20 m2, soba, adaptirana l. 2018, 1/1 nad., oddamo. Cena: 250,00 EUR/mes|20,00 m2|250,00 €/mesec|nan|2018
LJ. BEŽIGRAD|Soba|23 m2, soba, zgrajena l. 1960, 3. nad., Bežigrad, dvoposteljna soba, opremljena (oddaja), oddamo. Cena: 200,00 EUR/mes|23,00 m2|200,00 €/mesec|1960|nan
LJ. BEŽIGRAD|garsonjera|25 m2, garsonjera, zgrajena l. 1875, 20 m2 zemljišča, P/1 nad., oddamo. Cena: 400,00 EUR/mes|25,00 m2|400,00 €/mesec|1875|nan
LJ. BEŽIGRAD|garsonjera|28,7 m2, garsonjera, zgrajena l. 1978, visoko pritličje, Opremljeno garsonjero z ločeno kuhinjsko nišo in balkonom oddam...|28,70 m2|370,00 €/mesec|1978|nan
LJ. BEŽIGRAD|enosobno|31,9 m2, 1-sobno, zgrajeno l. 1980, adaptirano l. 2019, 4/4 nad., oddamo. Cena: 500,00 EUR/mes|31,90 m2|500,00 €/mesec|1980|2019
LJ. BEŽIGRAD|Apartma|35 m2, apartma, zgrajen l. 2015, pritličje, Oddam popolnoma opremljen apartma za 2a.Cena je s stroski..kuhinja, velika k...|35,00 m2|600,00 €/mesec|2015|nan
